,#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_name,total_subscribers,total_views,total_videos
85,86,MyMissAnand @UCpCWa9f5_J3PqY-_Lg-_QfQ,13.2M,0.20%,India,,4M,MyMissAnand,13800000,5266629415,431
86,87,Anaysa @UCuN4A3GCUq5-0wJDSiJoxRQ,13.2M,0.10%,India,Fashion Beauty,4M,Anaysa,13600000,3606047852,620
87,88,NishaMadhulika @UCgoxyzvouZM-tCgsYzrYtyg,13.1M,-,India,,3.9M,NishaMadhulika,14300000,3211897104,2272
88,89,ETV Jabardasth @UCnoqvTW4YZExfDeq7_Wmd-w,13M,-,India,,3.9M,ETV Jabardasth,14800000,14760948825,11941
89,90,Mythpat @UCx6F-rETGiz7xf_vkMmX2yQ,13M,-,India,Video Gaming,3.9M,Mythpat,15300000,3526701760,398
90,91,Desi Gamers @UCuApqv2tNQ73S7gcfrfCSDw,13M,0.50%,India,,3.9M,Desi Gamers,15500000,2483237405,1424
91,92,Zee Bangla @UCeMsqI6jU9WE2ctsrbxbywQ,13M,-,India,,3.9M,Zee Bangla,16900000,11260129184,143718
92,94,CookingShooking Hindi @UCTbNOCtAGaqOEnLMeo3JTeg,12.8M,-,India,,3.8M,CookingShooking Hindi,13400000,1873566233,393
93,95,Zee Telugu @UC3PYGKK29qJ0zu-eEthHK4g,12.7M,-,India,,3.8M,Zee Telugu,15800000,12647517839,162421
94,96,Dear Sir @UC9dyrsYEmD4iGJ8Oz1G5dpw,12.7M,-,India,,3.8M,Dear Sir,18200000,1720981931,850
95,97,T-Series Hamaar Bhojpuri @UCpN-WGQgGsOrXm7nHXDdTDA,12.6M,-,India,,3.8M,T-Series Hamaar Bhojpuri,18300000,9088520266,10439
96,98,Health Time @UCPMqs8vxEwbie26nFA3ykAw,12.6M,-,India,,3.8M,Health Time,12400000,1021153531,2167
